Time,H2,Press,Temp
0,0,6.33E+06,5.52E+02
0.033530556,0,7.30E+06,5.62E+02
0.066797222,0,7.12E+06,5.60E+02
0.100022222,0,7.30E+06,5.62E+02
0.133469444,0,7.43E+06,5.63E+02
0.166713889,0,7.47E+06,5.64E+02
0.200047222,0,7.44E+06,5.63E+02
0.233363889,0,7.39E+06,5.63E+02
0.266691667,0,7.37E+06,5.63E+02
0.300188889,0,7.27E+06,5.62E+02
0.333463889,0,7.14E+06,5.60E+02
0.366783333,0,7.04E+06,5.59E+02
0.400047222,0,7.17E+06,5.61E+02
0.433383333,0,7.77E+06,5.66E+02
0.466830556,0,7.65E+06,5.65E+02
0.500141667,0,7.48E+06,5.64E+02
0.533427778,0,7.36E+06,5.62E+02
0.566669444,0,7.20E+06,5.61E+02
0.600025,0,7.07E+06,5.60E+02
0.633491667,0,7.74E+06,5.66E+02
0.666675,0,7.59E+06,5.65E+02
0.700141667,0,7.35E+06,5.62E+02
0.733408333,0,7.07E+06,5.60E+02
0.766713889,0,7.58E+06,5.65E+02
0.80005,0,7.59E+06,5.65E+02
0.833572222,0,7.35E+06,5.62E+02
0.866705556,0,7.03E+06,5.59E+02
0.900122222,0,7.70E+06,5.66E+02
0.933338889,0,7.50E+06,5.64E+02
0.966761111,0,7.17E+06,5.61E+02
1.000255556,0,7.75E+06,5.66E+02
1.033388889,0,7.59E+06,5.65E+02
1.066794444,0,7.32E+06,5.62E+02
1.100197222,0,7.32E+06,5.62E+02
1.133372222,0,7.35E+06,5.62E+02
1.166733333,0,7.37E+06,5.63E+02
1.200052778,0,7.39E+06,5.63E+02
1.233466667,0,7.44E+06,5.63E+02
1.2669,0,7.48E+06,5.64E+02
1.300061111,0,7.49E+06,5.64E+02
1.333455556,0,7.47E+06,5.64E+02
1.366847222,0,7.44E+06,5.63E+02
1.400236111,0,7.39E+06,5.63E+02
1.433336111,0,7.32E+06,5.62E+02
1.4667,0,7.22E+06,5.61E+02
1.500097222,0,7.13E+06,5.60E+02
1.533525,0,7.03E+06,5.59E+02
1.566730556,0,7.71E+06,5.66E+02
1.600027778,0,7.58E+06,5.65E+02
1.633519444,0,7.43E+06,5.63E+02
1.666672222,0,7.25E+06,5.62E+02
1.700083333,0,7.07E+06,5.60E+02
1.733416667,0,7.70E+06,5.66E+02
1.766777778,0,7.52E+06,5.64E+02
1.800180556,0,7.32E+06,5.62E+02
1.833544444,0,7.09E+06,5.60E+02
1.866877778,0,7.62E+06,5.65E+02
1.900102778,0,7.41E+06,5.63E+02
1.933572222,0,7.11E+06,5.60E+02
1.966905556,0,7.58E+06,5.65E+02
2.000069444,0,7.27E+06,5.62E+02
2.033402778,0,7.69E+06,5.66E+02
2.066813889,0,7.36E+06,5.63E+02
2.100147222,0,7.73E+06,5.66E+02
2.133344444,0.39,7.36E+06,5.63E+02
2.166677778,1.06,7.71E+06,5.66E+02
2.200125,2.39,7.34E+06,5.62E+02
2.234313889,4.1,7.69E+06,5.66E+02
2.267722222,6.06,7.31E+06,5.62E+02
2.301055556,8.41,7.68E+06,5.65E+02
2.334372222,11.44,7.29E+06,5.62E+02
2.367705556,14.88,7.66E+06,5.65E+02
2.400741667,19.08,7.29E+06,5.62E+02
2.434075,24.53,7.68E+06,5.65E+02
2.467002778,31.25,7.39E+06,5.61E+02
2.500097222,41.31,7.40E+06,5.63E+02
2.534552778,56.65,7.48E+06,5.64E+02
2.567247222,77.31,7.23E+06,5.61E+02
2.600555556,111.42,7.18E+06,5.61E+02
2.633372222,164.31,7.45E+06,5.63E+02
2.667583333,206.46,7.25E+06,5.61E+02
2.700636111,250.1,7.61E+06,1.99E+03
2.734022222,269.43,7.61E+06,2.05E+03
2.767091667,278.48,7.50E+06,2.08E+03
2.778202778,279.92,7.51E+06,2.14E+03
4.167061111,442.55,7.53E+06,1.68E+03
5.555613889,472.31,7.65E+06,1.01E+03
